apo VV Defensiv - Privat, Defensiv, 8, 1J, 1.92%, 2.67%
easyfolio 50, Ausgewogen, 6, 1J, 7.06%, 5.98%
EdR Patrimoine A, Ausgewogen, 6, 1J, 6.13%, 4.48%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 6, 1J, 8.5%, 4.64%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 6, 1J, 8.49%, 4.63%
Haspa PB Strategie - Wachstum, Ausgewogen, 6, 1J, 8.25%, 4.89%
HSBC Strategie Balanced AC, Ausgewogen, 6, 1J, 7.63%, 5.81%
HUK-Vermögensfonds Dynamik, Ausgewogen, 6, 1J, 10.71%, 9.24%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 6, 1J, 5.8%, 5.72%
HVB Verm.dep.privat Balance PI, Ausgewogen, 6, 1J, 3.09%, 4.26%
Hypo PF Ausgewogen A, Ausgewogen, 6, 1J, 5.25%, 3.26%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 6, 1J, 7.34%, 4.79%
Lampe Ausgewogen, Ausgewogen, 6, 1J, 4.08%, 4.24%
LBBW Balance CR40, Ausgewogen, 6, 1J, 8.73%, 4.15%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 6, 1J, 6.64%, 5.01%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 6, 1J, 3.41%, 4.41%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 6, 1J, 5.79%, 4.49%
PB VP Klassik 50 PI 1, Ausgewogen, 6, 1J, 2.8%, 4.12%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 6, 1J, 4.53%, 5.61%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 6, 1J, 6.93%, 6.51%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 6, 1J, 8.31%, 4.64%
Sauren Global Balanced A, Ausgewogen, 6, 1J, 6.85%, 3.21%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 6, 1J, 9.73%, 4.45%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 6, 1J, 6.82%, 5.22%
UBS (D) Konzeptfonds IV, Ausgewogen, 6, 1J, 7.95%, 5.05%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 6, 1J, 9.6%, 5.06%
UniStrategie: Ausgewogen, Ausgewogen, 6, 1J, 8.41%, 4.7%
WALSER Str.-Strategie Balance, Ausgewogen, 6, 1J, 5.14%, 4.32%
Anlagestruktur 1 A EUR, Ausgewogen, 6, 3J, 14.54%, 7.59%
AURETAS strategy balanced (D) C, Ausgewogen, 6, 3J, 16.07%, 5.54%
Basler-International DWS, Ausgewogen, 6, 3J, 14.97%, 7.99%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 6, 3J, 5.6%, 6.27%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 6, 3J, 15.4%, 9.0%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 6, 3J, 21.16%, 7.79%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 6, 3J, 8.3%, 7.0%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 6, 3J, 5.13%, 6.93%
Castell VV Ausgewogen I, Ausgewogen, 6, 3J, 9.16%, 5.05%
Credit Suisse MACS Classic 40 P, Ausgewogen, 6, 3J, 14.35%, 6.78%
Credit Suisse MACS Classic 60 P, Ausgewogen, 6, 3J, 18.26%, 9.41%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 6, 3J, 12.34%, 8.06%
D&R Strategie - Ausgewogen P, Ausgewogen, 6, 3J, -3.74%, 3.52%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 6, 3J, 15.0%, 8.01%
Deka-BR 45, Ausgewogen, 6, 3J, 10.94%, 4.69%
Do - Balanced, Ausgewogen, 6, 3J, 10.78%, 4.43%
easyfolio 50, Ausgewogen, 6, 3J, 17.28%, 8.67%
EdR Patrimoine A, Ausgewogen, 6, 3J, 8.96%, 6.32%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 6, 3J, 25.54%, 6.93%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 6, 3J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 6, 3J, 6.09%, 6.72%
HSBC Strategie Balanced AC, Ausgewogen, 6, 3J, 12.91%, 8.75%
HUK-Vermögensfonds Dynamik, Ausgewogen, 6, 3J, 25.38%, 14.03%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 6, 3J, 7.61%, 7.36%
HVB Verm.dep.privat Balance PI, Ausgewogen, 6, 3J, 4.26%, 5.28%
Hypo PF Ausgewogen A, Ausgewogen, 6, 3J, 12.99%, 5.37%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 6, 3J, 17.51%, 6.99%
Lampe Ausgewogen, Ausgewogen, 6, 3J, 4.12%, 6.52%
LBBW Balance CR40, Ausgewogen, 6, 3J, 10.04%, 5.88%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 6, 3J, 11.27%, 6.35%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 6, 3J, 7.3%, 5.3%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 6, 3J, 10.96%, 6.91%
PB VP Klassik 50 PI 1, Ausgewogen, 6, 3J, 6.39%, 5.47%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 6, 3J, 12.94%, 7.69%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 6, 3J, 13.27%, 8.52%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 6, 3J, 19.52%, 6.49%
Sauren Global Balanced A, Ausgewogen, 6, 3J, 9.25%, 3.94%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 6, 3J, 18.12%, 5.81%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 6, 3J, 16.44%, 7.33%
UBS (D) Konzeptfonds IV, Ausgewogen, 6, 3J, 15.65%, 6.94%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 6, 3J, 11.23%, 6.54%
UniStrategie: Ausgewogen, Ausgewogen, 6, 3J, 16.0%, 7.1%
WALSER Str.-Strategie Balance, Ausgewogen, 6, 3J, 11.75%, 6.48%
Anlagestruktur 1 A EUR, Ausgewogen, 6, 5J, n/a, n/a
AURETAS strategy balanced (D) C, Ausgewogen, 6, 5J, 32.48%, 6.0%
Basler-International DWS, Ausgewogen, 6, 5J, 38.94%, 7.3%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 6, 5J, 20.22%, 5.63%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 6, 5J, 37.44%, 8.18%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 6, 5J, 48.16%, 7.05%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 6, 5J, 27.59%, 6.13%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 6, 5J, 17.44%, 6.16%
Castell VV Ausgewogen I, Ausgewogen, 6, 5J, n/a, n/a
Credit Suisse MACS Classic 40 P, Ausgewogen, 6, 5J, 31.45%, 6.28%
Credit Suisse MACS Classic 60 P, Ausgewogen, 6, 5J, 41.85%, 8.75%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 6, 5J, 30.29%, 7.3%
D&R Strategie - Ausgewogen P, Ausgewogen, 6, 5J, -0.92%, 3.69%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 6, 5J, n/a, n/a
Deka-BR 45, Ausgewogen, 6, 5J, 30.38%, 4.52%
Do - Balanced, Ausgewogen, 6, 5J, n/a, n/a
easyfolio 50, Ausgewogen, 6, 5J, n/a, n/a
EdR Patrimoine A, Ausgewogen, 6, 5J, 23.81%, 5.64%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 6, 5J, 47.01%, 6.17%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 6, 5J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 6, 5J, 22.28%, 6.02%
HSBC Strategie Balanced AC, Ausgewogen, 6, 5J, 28.82%, 7.82%
HUK-Vermögensfonds Dynamik, Ausgewogen, 6, 5J, 61.99%, 12.55%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 6, 5J, 16.18%, 6.45%
HVB Verm.dep.privat Balance PI, Ausgewogen, 6, 5J, 9.73%, 4.64%
Hypo PF Ausgewogen A, Ausgewogen, 6, 5J, 32.9%, 5.05%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 6, 5J, 43.31%, 6.4%
Lampe Ausgewogen, Ausgewogen, 6, 5J, 17.59%, 5.86%
LBBW Balance CR40, Ausgewogen, 6, 5J, 31.1%, 5.37%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 6, 5J, 23.94%, 5.85%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 6, 5J, n/a, n/a
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 6, 5J, n/a, n/a
PB VP Klassik 50 PI 1, Ausgewogen, 6, 5J, 23.58%, 4.91%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 6, 5J, 33.52%, 6.96%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 6, 5J, 26.48%, 8.03%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 6, 5J, 34.68%, 5.82%
Sauren Global Balanced A, Ausgewogen, 6, 5J, 26.03%, 3.65%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 6, 5J, 42.21%, 5.48%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 6, 5J, 34.05%, 6.39%
UBS (D) Konzeptfonds IV, Ausgewogen, 6, 5J, 42.6%, 6.71%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 6, 5J, 31.4%, 6.06%
UniStrategie: Ausgewogen, Ausgewogen, 6, 5J, 48.92%, 6.43%
WALSER Str.-Strategie Balance, Ausgewogen, 6, 5J, 31.49%, 5.89%
Anlagestruktur 1 A EUR, Ausgewogen, 5, 1J, 8.52%, 5.54%
AURETAS strategy balanced (D) C, Ausgewogen, 5, 1J, 5.36%, 4.72%
Basler-International DWS, Ausgewogen, 5, 1J, 6.15%, 5.86%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 5, 1J, 5.89%, 4.62%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 5, 1J, 8.18%, 6.32%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 5, 1J, 9.22%, 6.23%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 5, 1J, 4.9%, 5.05%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 5, 1J, 4.58%, 4.23%
Castell VV Ausgewogen I, Ausgewogen, 5, 1J, 6.31%, 3.67%
Credit Suisse MACS Classic 40 P, Ausgewogen, 5, 1J, 6.98%, 4.87%
Credit Suisse MACS Classic 60 P, Ausgewogen, 5, 1J, 8.81%, 6.71%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 5, 1J, 6.47%, 5.51%
D&R Strategie - Ausgewogen P, Ausgewogen, 5, 1J, 0.82%, 2.07%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 5, 1J, 6.16%, 4.83%
Deka-BR 45, Ausgewogen, 5, 1J, 4.99%, 3.92%
Do - Balanced, Ausgewogen, 5, 1J, 4.15%, 2.72%
easyfolio 50, Ausgewogen, 5, 1J, 8.34%, 6.06%
EdR Patrimoine A, Ausgewogen, 5, 1J, 5.05%, 4.43%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 5, 1J, 10.06%, 4.75%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 5, 1J, 10.04%, 4.75%
Haspa PB Strategie - Wachstum, Ausgewogen, 5, 1J, 6.94%, 5.15%
HSBC Strategie Balanced AC, Ausgewogen, 5, 1J, 8.02%, 6.02%
HUK-Vermögensfonds Dynamik, Ausgewogen, 5, 1J, 11.09%, 9.48%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 5, 1J, 6.17%, 5.86%
HVB Verm.dep.privat Balance PI, Ausgewogen, 5, 1J, 3.83%, 4.32%
Hypo PF Ausgewogen A, Ausgewogen, 5, 1J, 4.85%, 3.37%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 5, 1J, 7.86%, 4.9%
Lampe Ausgewogen, Ausgewogen, 5, 1J, 5.15%, 4.37%
LBBW Balance CR40, Ausgewogen, 5, 1J, 7.2%, 4.29%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 5, 1J, 7.17%, 5.04%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 5, 1J, 4.28%, 4.52%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 5, 1J, 7.41%, 4.56%
PB VP Klassik 50 PI 1, Ausgewogen, 5, 1J, 3.17%, 4.12%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 5, 1J, 5.51%, 5.72%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 5, 1J, 6.92%, 6.69%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 5, 1J, 7.85%, 4.71%
Sauren Global Balanced A, Ausgewogen, 5, 1J, 4.16%, 3.36%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 5, 1J, 7.69%, 4.54%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 5, 1J, 7.09%, 5.35%
UBS (D) Konzeptfonds IV, Ausgewogen, 5, 1J, 7.0%%, 5.24%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 5, 1J, 9.81%, 5.24%
UniStrategie: Ausgewogen, Ausgewogen, 5, 1J, 8.53%, 5.01%
WALSER Str.-Strategie Balance, Ausgewogen, 5, 1J, 5.2%, 4.5%
Anlagestruktur 1 A EUR, Ausgewogen, 5, 3J, 17.41%, 7.59%
AURETAS strategy balanced (D) C, Ausgewogen, 5, 3J, 18.23%, 5.53%
Basler-International DWS, Ausgewogen, 5, 3J, 15.93%, 8.01%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 5, 3J, 7.08%, 6.26%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 5, 3J, 16.97%, 9.02%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 5, 3J, 23.27%, 7.76%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 5, 3J, 9.83%, 7.01%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 5, 3J, 6.82%, 6.95%
Castell VV Ausgewogen I, Ausgewogen, 5, 3J, 10.62%, 5.05%
Credit Suisse MACS Classic 40 P, Ausgewogen, 5, 3J, 16.58%, 6.78%
Credit Suisse MACS Classic 60 P, Ausgewogen, 5, 3J, 20.55%, 9.41%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 5, 3J, 14.5%, 8.05%
D&R Strategie - Ausgewogen P, Ausgewogen, 5, 3J, -3.15%, 3.57%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 5, 3J, 16.69%, 8.02%
Deka-BR 45, Ausgewogen, 5, 3J, 12.4%, 4.69%
Do - Balanced, Ausgewogen, 5, 3J, 12.17%, 4.42%
easyfolio 50, Ausgewogen, 5, 3J, 19.06%, 8.65%
EdR Patrimoine A, Ausgewogen, 5, 3J, 10.26%, 6.33%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 5, 3J, 28.63%, 6.91%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 5, 3J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 5, 3J, 7.61%, 6.74%
HSBC Strategie Balanced AC, Ausgewogen, 5, 3J, 14.53%, 8.76%
HUK-Vermögensfonds Dynamik, Ausgewogen, 5, 3J, 29.59%, 14.03%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 5, 3J, 9.87%, 7.34%
HVB Verm.dep.privat Balance PI, Ausgewogen, 5, 3J, 6.2%, 5.25%
Hypo PF Ausgewogen A, Ausgewogen, 5, 3J, 14.75%, 5.39%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 5, 3J, 19.59%, 6.98%
Lampe Ausgewogen, Ausgewogen, 5, 3J, 5.87%, 6.53%
LBBW Balance CR40, Ausgewogen, 5, 3J, 10.96%, 5.89%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 5, 3J, 12.53%, 6.36%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 5, 3J, 9.1%, 5.31%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 5, 3J, 12.96%, 6.9%
PB VP Klassik 50 PI 1, Ausgewogen, 5, 3J, 8.47%, 5.46%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 5, 3J, 15.1%, 7.71%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 5, 3J, 15.01%, 8.56%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 5, 3J, 21.47%, 6.53%
Sauren Global Balanced A, Ausgewogen, 5, 3J, 10.33%, 3.94%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 5, 3J, 19.09%, 5.85%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 5, 3J, 18.05%, 7.32%
UBS (D) Konzeptfonds IV, Ausgewogen, 5, 3J, 17.49%, 6.94%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 5, 3J, 12.7%, 6.54%
UniStrategie: Ausgewogen, Ausgewogen, 5, 3J, 18.62%, 7.1%
WALSER Str.-Strategie Balance, Ausgewogen, 5, 3J, 13.82%, 6.49%
Anlagestruktur 1 A EUR, Ausgewogen, 5, 5J, n/a, n/a
AURETAS strategy balanced (D) C, Ausgewogen, 5, 5J, 34.38%, 5.9%
Basler-International DWS, Ausgewogen, 5, 5J, 40.69%, 7.32%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 5, 5J, 22.45%, 5.67%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 5, 5J, 39.39%, 8.21%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 5, 5J, 52.39%, 7.06%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 5, 5J, 29.3%, 6.15%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 5, 5J, 19.33%, 6.18%
Castell VV Ausgewogen I, Ausgewogen, 5, 5J, n/a, n/a
Credit Suisse MACS Classic 40 P, Ausgewogen, 5, 5J, 35.04%, 6.32%
Credit Suisse MACS Classic 60 P, Ausgewogen, 5, 5J, 46.8%, 8.8%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 5, 5J, 34.6%, 7.36%
D&R Strategie - Ausgewogen P, Ausgewogen, 5, 5J, -0.88%, 3.74%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 5, 5J, n/a, n/a
Deka-BR 45, Ausgewogen, 5, 5J, 30.76%, 4.58%
Do - Balanced, Ausgewogen, 5, 5J, n/a, n/a
easyfolio 50, Ausgewogen, 5, 5J, n/a, n/a
EdR Patrimoine A, Ausgewogen, 5, 5J, 27.46%, 5.66%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 5, 5J, 49.52%, 6.19%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 5, 5J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 5, 5J, 24.5%, 6.03%
HSBC Strategie Balanced AC, Ausgewogen, 5, 5J, 31.97%, 7.82%
HUK-Vermögensfonds Dynamik, Ausgewogen, 5, 5J, 65.92%, 12.59%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 5, 5J, 17.39%, 6.46%
HVB Verm.dep.privat Balance PI, Ausgewogen, 5, 5J, 10.59%, 4.64%
Hypo PF Ausgewogen A, Ausgewogen, 5, 5J, 33.49%, 5.08%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 5, 5J, 46.18%, 6.43%
Lampe Ausgewogen, Ausgewogen, 5, 5J, 20.21%, 5.89%
LBBW Balance CR40, Ausgewogen, 5, 5J, 31.63%, 5.4%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 5, 5J, 25.69%, 5.85%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 5, 5J, n/a, n/a
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 5, 5J, n/a, n/a
PB VP Klassik 50 PI 1, Ausgewogen, 5, 5J, 24.94%, 4.91%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 5, 5J, 36.06%, 6.99%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 5, 5J, 26.95%, 8.08%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 5, 5J, 34.85%, 5.85%
Sauren Global Balanced A, Ausgewogen, 5, 5J, 26.22%, 3.67%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 5, 5J, 42.14%, 5.5%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 5, 5J, 35.33%, 6.4%
UBS (D) Konzeptfonds IV, Ausgewogen, 5, 5J, 44.57%, 6.73%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 5, 5J, 34.16%, 6.09%
UniStrategie: Ausgewogen, Ausgewogen, 5, 5J, 51.51%, 6.44%
WALSER Str.-Strategie Balance, Ausgewogen, 5, 5J, 34.63%, 5.91%
Anlagestruktur 1 A EUR, Ausgewogen, 4, 1J, 9.18%, 5.8%
AURETAS strategy balanced (D) C, Ausgewogen, 4, 1J, 6.28%, 4.69%
Basler-International DWS, Ausgewogen, 4, 1J, 8.09%, 5.9%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 4, 1J, 7.23%, 4.73%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 4, 1J, 9.12%, 6.38%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 4, 1J, 10.03%, 6.34%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 4, 1J, 5.6%, 5.07%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 4, 1J, 5.73%, 4.31%
Castell VV Ausgewogen I, Ausgewogen, 4, 1J, 7.28%, 3.7%
Credit Suisse MACS Classic 40 P, Ausgewogen, 4, 1J, 8.6%, 4.98%
Credit Suisse MACS Classic 60 P, Ausgewogen, 4, 1J, 10.81%, 6.9%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 4, 1J, 8.4%, 5.64%
D&R Strategie - Ausgewogen P, Ausgewogen, 4, 1J, 1.46%, 2.13%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 4, 1J, 7.14%, 4.96%
Deka-BR 45, Ausgewogen, 4, 1J, 5.24%, 3.96%
Do - Balanced, Ausgewogen, 4, 1J, 5.42%, 2.66%
easyfolio 50, Ausgewogen, 4, 1J, 9.96%, 6.2%
EdR Patrimoine A, Ausgewogen, 4, 1J, 5.59%, 4.57%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 4, 1J, 9.6%, 4.89%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 4, 1J, 9.58%, 4.89%
Haspa PB Strategie - Wachstum, Ausgewogen, 4, 1J, 7.25%, 5.34%
HSBC Strategie Balanced AC, Ausgewogen, 4, 1J, 9.51%, 6.26%
HUK-Vermögensfonds Dynamik, Ausgewogen, 4, 1J, 13.61%, 9.76%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 4, 1J, 7.15%, 6.05%
HVB Verm.dep.privat Balance PI, Ausgewogen, 4, 1J, 4.8%, 4.44%
Hypo PF Ausgewogen A, Ausgewogen, 4, 1J, 6.06%, 3.59%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 4, 1J, 8.72%, 4.97%
Lampe Ausgewogen, Ausgewogen, 4, 1J, 6.53%, 4.53%
LBBW Balance CR40, Ausgewogen, 4, 1J, 7.63%, 4.31%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 4, 1J, 8.34%, 5.15%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 4, 1J, 5.02%, 4.59%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 4, 1J, 8.4%, 4.72%
PB VP Klassik 50 PI 1, Ausgewogen, 4, 1J, 4.58%, 4.1%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 4, 1J, 7.11%, 5.88%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 4, 1J, 8.1%, 6.78%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 4, 1J, 9.17%, 4.86%
Sauren Global Balanced A, Ausgewogen, 4, 1J, 3.85%, 3.33%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 4, 1J, 8.52%, 4.71%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 4, 1J, 8.81%, 5.41%
UBS (D) Konzeptfonds IV, Ausgewogen, 4, 1J, 8.84%, 5.31%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 4, 1J, 9.52%, 5.36%
UniStrategie: Ausgewogen, Ausgewogen, 4, 1J, 9.53%, 5.16%
WALSER Str.-Strategie Balance, Ausgewogen, 4, 1J, 5.39%, 4.62%
Anlagestruktur 1 A EUR, Ausgewogen, 4, 3J, 21.87%, 7.62%
AURETAS strategy balanced (D) C, Ausgewogen, 4, 3J, 21.32%, 5.53%
Basler-International DWS, Ausgewogen, 4, 3J, 19.64%, 8.08%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 4, 3J, 8.11%, 6.28%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 4, 3J, 18.57%, 9.08%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 4, 3J, 24.84%, 7.79%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 4, 3J, 11.7%, 7.03%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 4, 3J, 8.8%, 6.98%
Castell VV Ausgewogen I, Ausgewogen, 4, 3J, 12.74%, 5.09%
Credit Suisse MACS Classic 40 P, Ausgewogen, 4, 3J, 19.09%, 6.81%
Credit Suisse MACS Classic 60 P, Ausgewogen, 4, 3J, 23.77%, 9.47%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 4, 3J, 17.05%, 8.09%
D&R Strategie - Ausgewogen P, Ausgewogen, 4, 3J, -1.52%, 3.63%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 4, 3J, 19.14%, 8.07%
Deka-BR 45, Ausgewogen, 4, 3J, 13.98%, 4.74%
Do - Balanced, Ausgewogen, 4, 3J, 14.29%, 4.42%
easyfolio 50, Ausgewogen, 4, 3J, 22.45%, n/a
EdR Patrimoine A, Ausgewogen, 4, 3J, 11.95%, 6.32%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 4, 3J, 29.87%, 6.93%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 4, 3J, n/a, n/a
